Acronym,Definition,Source(s)
CXI,Coherent X Ray Imaging Instrument,LCLSII-HE-1.5-ES-0647.pdf page 4
CXI,Coherent X-ray Imaging,LCLSII-HE-1.6-RD-0438.pdf page 4
CXI,"Coherent X-ray Imaging; or, the Coherent X-ray Imaging instrument at LCLS",CDR-full.pdf page 510
Cal/OSHA,California Occupational Safety and Health Administration,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
Cal/OSHA,California Occupational and Health Administration,Construction_Project_Safety_and_Health_Plan.pdf page 6
Cavity Temperature,Cavity temperature is outside acceptable window,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
Ccomponent,Cost for a specific spare component,LCLS-II_Spares_Plan.pdf page 3
Ckt.,Circuit,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
Class 10 / ISO 4,10 particles of 0.3 micron size flow in a cubic foot per minute Classification standard for the cleanroom where qualified SRF cavities can be assembled or disassembled.,FPC_ICD.pdf page 2
Clip,"SRF events characterized by sufficient cavity detuning that the RF system runs out of reactive power to maintain both phase and amplitude. During clip events, LLRF will briefly switch from SELAP to SEL resulting in temporary phase excursions",LCLSII_LLRF_link_to_BSA_MPS.pdf page 2
CoHE,Control of Hazardous Energy LOTO (Lock Out and Tag Out) is one means of controlling hazardous energy.,ODH_Controls.pdf page 5
CoHE,Control of Hazardous Energy,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
Cold Section,Sectors of the Linac tunnel that are reserved for current or future placement of liquid helium cryomodules,Fire_Hazard_Analysis.pdf page 35
Cold mass,"Those portions of the cryomodule within the vacuum vessel which are cooler than room-temperature – RF cavities, piping, thermal shield, etc.",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
Common Platform,"Host electronics platform for upgraded controls equipment including BPMS, MPS",LCLSII-HE-1.5-ES-0326.pdf page 3
Cryoplant,New LCLS-II Helium Liquefaction Plant to be housed in and around new Building 905.,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
Cu,Copper,LCLSII-HE-1.2-TS-0206.pdf page 8
Cu,Copper. Cu Linac refers to the existing copper Linac starting in sector 20,Engineering_Note_for_Cu_2019_Downtime_Work.pdf page 2
Cu-HXR,Copper Linac and Hard X-ray Undulator system,XTES_Photon_Stoppers.pdf page 3
Cu-Linac,"Normal conducting, Cu, Linac",FEE_and_NEH_1.1_Burn_Through_Calculations.pdf page 2
Cu-linac,"Copper linac, the existing 3 GHz (S-band) SLAC linear accelerator",LCLS-II_Readiness_Review_Process.pdf page 5
CuRF,Conventional RF Linac,XTES_Shield.pdf page 3
CuRF,Copper (normal conducting) Radiofrequency,XTES_Gas_Energy_Monitors.pdf page 3
CuRF,Copper Radio Frequency (Linac),XTES_PRD.pdf page 2
CuRF,Copper Radio Frequency,LCLSII-HE-1.1-PR-0047.pdf page 3
CuRF,Cu normal conducting Radiofrequency,LCLSII-HE-1.4-ES-0651.pdf page 3
CuRF,Copper RF linac,LCLSII-HE-1.4-ES-0423.pdf page 4
CuRF Linac,Copper Linac,LTU_ESD.pdf page 3
Current Limit,Detected beam current surpasses limit,LCLS-II_Beam_Containment_System_Average_Current_Monitors_EN.pdf page 27
D1 EC Valve,D1 End Cap Valves,HRS.2K.CC-OM-SLAC-_Back_Fill.pdf page 7
D1 JT Valve,D1 JT Valves,HRS.2K.CC-OM-SLAC-_Back_Fill.pdf page 7
D2 EC Valve,D2 End cap Valves,HRS.2K.CC-OM-SLAC-_Back_Fill.pdf page 7
D2 JT Valve,D2 JT Valves,HRS.2K.CC-OM-SLAC-_Back_Fill.pdf page 7
DAC,Derived Air Concentration,Workplace_Radiation.pdf page 3
DAC,Digital-to-Analog Converter,High_Performance_System_Common_Platform_to_Timing_MPS_Diagnostics_ICD.pdf page 2
DAC,Digital to Analog Converter,LCLSII-HE-1.5-ES-0192.pdf page 4
DAQ,Data Acquisition (System),LCLSII-HE-1.5-IC-0488.pdf page 4
DAQ,Data Acquisition,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
DAQ,(High Speed) Data Acquisition System,LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 3
DAQ,Data Acquisition system,CDR-full.pdf page 510
DASEL,Dark Sector Experiments at LCLSII,lcw_requirements.pdf page 2
DB,Distribution Box is a cryogenic component used to distribute cryogens from the cryogenic plant to the Linac cryomodules via transfer lines and feed caps,LCLSII-HE-1.3-TS-0393.pdf page 5
DB,Distribution Box in CDS,L3_Vacuum_Break_Box_Functional_Requirements.pdf page 3
DB,Distribution Box. There are two distribution boxes in LCLS-II cryogenic system.,LCLS-II_Cryoplant_Interface.pdf page 4
DB,Distribution Box: a cryogenic component used to distribute cryogens from the CP to the Linac,Cryogenic_Distribution_System_ICD.pdf page 3
DB,Distribution Box is a cryogenic component used to distribute cryogens from the cryogenic plant to the Linac,LCLSII-HE-1.3-FR-0054.pdf page 4
DB,Distribution Box,LCLS-II_2K_Cold_box_Assembly.pdf page 4
DB3,Distribution Box 3,LCLSII-HE-1.6-RD-0289.pdf page 3
DBB,Design-Bid-Build,LCLSII-HE-1.1-QA-0230.pdf page 5
DBS,Design-Build to Specifications,LCLSII-HE-1.1-QA-0230.pdf page 5
DC,Direct Current (also refers to a system with constant output wrt time),CDR-full.pdf page 510
DC,Direct Current (or zero Hz when used to describe a signal frequency),LCLS-II_BCS_Average_Current_Monitor_vTone_Generator_Firmware_Requirements.pdf page 5
DC,Direct Current,Fire_Hazard_Analysis.pdf page 35
DCCT,Similar to toroid but measures continuous beams.,CDR-full.pdf page 510
DCCT,DC Current Transformer,Diagnostics.pdf page 1
DCR,Design Change Request,Systems_Engineering_Management_Plan.pdf page 4
DCS,Distributed Control System,CDR-full.pdf page 510
DCSM,Deputy Cryomodule Systems Manager,LCLSII-HE-1.1-PM-0083.pdf page 4
DD,Defense-In-Depth,LCLSII-HE-1.1-QA-0230.pdf page 6
DDC,Direct Digital Controller,CDR-full.pdf page 510
DDC,Digital Down Converter,LCLS-II_Beam_Containment_System_Average_Current_Monitors_ESD.pdf page 3
DDC,Direct Digital Control (site wide HVAC control system),Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
DDG,Double Dacron Glass (electrical insulation),0.433Q3.1_Quadrupole_Magnet.pdf page 2
DDR,Double Data Rate,HPS_Common_Platform_Engineering_Specification.pdf page 3
DE,Design Engineer,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
DESY,"Deutsches Elektronen-SYnchrotron (SLAC’s sister lab in Hamburg, Germany)",CDR-full.pdf page 510
DESY,Deutsches Elektronen-Synchrotron,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
DG,Drawing,HRS.00.00-SR-SLAC-SRR-1-Pressure_Safety_Report.pdf page 3
DI,De-Ionized,CDR-full.pdf page 510
DIO,Digital Input / Output,HXR_Undulator_Motion_Control_ESD.pdf page 3
DL,Dog-Leg (jogging bend system for electron transport),CDR-full.pdf page 510
DLWG,Disk-loaded waveguide,LCLSII-HE-1.1-PR-0028.pdf page 3
DMA,Direct Memory Access,HPS_Common_Platform_Engineering_Specification.pdf page 3
DMZ,De-Militarized Zone (Intermediate Network),CDR-full.pdf page 510
DMZ,Demilitarized zone - a staging subnet between the production network and SLAC public network,LCLSII-HE-1.5-ES-0326.pdf page 3
DOE,Dept. of Energy,LCLSII-HE-1.1-PM-0557.pdf page 3
DOE,United States Department of Energy,CDR-full.pdf page 510
DOE,U.S. Department of Energy,LCLSII-HE-1.6-SW-0433.pdf page 3
DOE,Department of Energy,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
DOE O 413.3B,Program and Project Management for the Acquisition of Capital Assets,LCLSII-HE-1.1-PM-0219.pdf page 6
DOE-SC,Department of Energy-Office of Science,LCLSII-HE-1.1-PM-0009.pdf page 7
DOE-SSO,Department of Energy – Stanford Site Office,LCLS-II_Readiness_Review_Process.pdf page 5
DOF,Degree(s) of Freedom,Undulator_Interspace_Support-Alignment_ESD.pdf page 2
DOF,Degrees of Freedom,LCLSII-HE-1.4-ES-0570.pdf page 3
DOG,Dogleg Area (as defined in the MAD database),Bypass_Mechanical_Specifications.pdf page 3
DP,"Distribution Panel or Switchboard, Vacuum Diffusion Pump",HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
DP,Distribution Panel,HRS.00.00-SR-SLAC-SRR-2-Electrical_Report.pdf page 5
DP,Differential Pump,BC1_COL1_Engineering_Specification.pdf page 2
DP,Distribution Panel or Switchboard,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
DP,"Distribution Panel or Switchboard, Diffusion Vacuum Pump",HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
DPAC,Discrete Programmable Automation Controller,LCLS-II_Cryo_Plant_Electrical_Equipment_Power_Study.pdf page 8
DPSC,Differential Pumping Stay-Clear space … about 2.5 m long,LCLSII-HE-1.1-PR-0028.pdf page 3
DR,Design Review,LCLSII-HE-1.3-SW-0076.pdf page 10
DR,Final Design Review,Vacuum_System_Safety.pdf page 2
DRD,Design Report Document,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
DREAM,Dynamic Molecular Reaction Microscope,XTES_to_Experimental_End_Stations.pdf page 3
DRIP,Damping Ring Injection Point,Fire_Hazard_Analysis.pdf page 35
DRIP,Damping Ring Injection Point (Sector 01 of the tunnel),Fire_Hazard_Analysis.pdf page 35
DRL,Din Rail for controls components e.g Beckhoff,LCLSII-HE-1.5-IC-0488.pdf page 4
DRV,Drive Signal (W),LCLSII-HE-1.5-FR-0258.pdf page 20
DS,Distribution System: Distribution Boxes and Cryo Lines.,HRS.CM.00-FA-SLAC-LINAC_Functional_Requirements.pdf page 3
DS,Disconnect Switch,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
DS,Downstream with respect to electron beam direction,LCLSII-HE-1.3-TS-0393.pdf page 5
DS,Downstream,SC_Linac_Cryomodule_Cool_Down_Requirements.pdf page 2
DSA,Downstream Aisle,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
DSC,Digital Summary Chassis,LCLS-II_Beam_Containment_System_ESD.pdf page 5
DSP,Digital Signal Processing,FMEA_For_the_BCS_Average_Current_Monitor.pdf page 1
DSW,Downstream Wall,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
DT,Temperature Difference,HRS.CM.00-FA-SLAC-LINAC_Functional_Requirements.pdf page 3
DW,Domestic Water,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
DXS,Dynamic X-ray Scattering,LCLSII-HE-1.6-RD-0438.pdf page 4
DXS,Dynamic X-ray Scattering Instrument,LCLSII-HE-1.4-ES-0182.pdf page 3
DXS,Dynamic Xray Scattering Instrument,LCLSII-HE-1.4-ES-0565.pdf page 3
DYN,Dynamic,CDR-full.pdf page 510
Device,Label,Electron_to_XTES.pdf page 14
Device,Shutoff Path,MPS_ICD.pdf page 18
Device ID,Type of device,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
Document #,Document Title,LCLSII-HE-1.6-SW-0358.pdf page 27
Dry Contacts,Electrical contacts that serve a secondary function and so do not have the current used for the primary function through them. Dry contacts provided by PPS are ready for a non-PPS voltage source to be connected and independently fused. All dry contacts provided by the PPS will be sourced with 24Vdc unless specifically negotiated.,ODH_Controls.pdf page 5
E-pit,Electron beam pit,EBD_ESD.pdf page 3
EAP,Employee Assistance Program,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 5
EB,Electron beam welding is a fusion welding process in which a beam of high-velocity electrons is applied to two materials to be joined. The work pieces melt and flow together as the kinetic energy of the electrons is transformed into heat upon impact. EBW is often performed under vacuum conditions to prevent dissipation of the electron beam.,3.9_GHz_Fundamental_Power_Coupler.pdf page 3
EBB,Encoder Battery Box,SXR_Undulator_Motion_Control_ESD.pdf page 3
EBD,Electron Beam Dumps at the end of the undulator lines,LCLSII-HE-1.1-PR-0047.pdf page 3
EBD,East Beam Dump – an area after the undulators where the electron beams are terminated,LCLS-II_Beam_Containment_System_ESD.pdf page 5
EBD,Electron Beam Dump section of the UXT,CDR-full.pdf page 510
EBD,"East Beam Dump, the terminus of the LCLS-II electron beams after the X-ray undulators",BSY_Dump_Removal_and_Installation_Procedure.pdf page 6
EBD,Electron Beam Dump,lcw_requirements.pdf page 2
EBD,"Electron Beam Dump, building 930",XTES_Raytrace_Construction_Document_ESD.pdf page 3
EBDH,Electron beam dump at the end of the hard xray undulator line.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
EBDS,Electron beam dump at the end of the soft xray undulator line.,Machine_Protection_System_MPS_Controls_Functional_Requirements.pdf page 16
EC,End Cap,Work_Planning_and_Control.pdf page 3
EC,End Cap is a cryogenic component at the end of each Linac string which interfaces with a cryomodule and returns cryogens to the distribution box via feed caps and transfer lines,LCLSII-HE-1.3-TS-0393.pdf page 5
EC,End Cap: a cryogenic component at the end of each Linac string which interfaces with a CM and returns excess cryogens to the DB,Cryogenic_Distribution_System_ICD.pdf page 3
EC,End Cap is a cryogenic component at the end of each Linac string which interfaces with a cryomodule and returns excess cryogens to the distribution box,LCLSII-HE-1.3-FR-0054.pdf page 4
EC,End Caps,LCLS-II_CDS_Piping_UT_Examination_Service.pdf page 4
ECS,Experiments Control Systems,LCLSII-HE-1.4-EN-0368.pdf page 2
ECS,"Experimental Area Control System (EPICS), the SLAC control system for the operation of the experimental facilities from the Electron Beam Dump (XTES beamline) through Far Experimental Hall.",RSS_Controls.pdf page 6
ECS,Experiment Control System,LCLSII-HE-1.5-ES-0691.pdf page 3
ECT,Equivalent Chill Temperature,Construction_Project_Safety_and_Health_Plan.pdf page 6
ED,Electrical Diagram,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
ED,Electrical Diagrams,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
EDM,Extensible Display Manager,LCLS-II_Bunch_Chicane_2B_Controls_Checkout_Procedure.pdf page 2
EDM,Extensible Display Manager. Tool for building and running GUIs based on MOTIF.,HPS_for_the_XTES_GMD_upgrade_and_XGMD_FR.pdf page 2
EDM / PyDM,EPICS Display Manager / Python Displlay Manager,LCLSII-HE-1.5-FR-0478.pdf page 3
EE,Electrical Engineer,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
EE,Emergency Entry or Emergency Exit,PPS_to_InfrastructureSystems.pdf page 2
EED,Electronics Engineering Division,EBD_&_BSY_RLCW_Installation_Plan.pdf page 6
EED,Electrical Engineering Division,LCLS-II_Beam_Containment_System_PLC_Engineer_Services_Effort.pdf page 2
EED Safety,"Electronics Engineering Division, Safety Systems Department",ODH_Controls.pdf page 6
EED-SS,Electronics Engineering Division-Safety Systems,LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
EEIP,(SLAC) Electrical Equipment Inspection Program,LCLS-II_ICD_with_JLAB_for_LERF_Test_Facility.pdf page 2
EEIP,Electronic Equipment Inspection Program,LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
EEIP,SLAC Electrical Equipment Inspection Program,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
EEIP,Electrical Equipment Inspection Program,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
EFS,External Floor Support,LCLS-II_CDS_Piping_UT_Examination_Service.pdf page 4
EFS,Electropolish Finish Standard,3.9_GHz_Fundamental_Power_Coupler.pdf page 3
EGC,Equipment Grounding Conductor,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
EH&S,Environmental Health and Safety,LCLSII-HE-1.6-SW-0433.pdf page 3
EI,Electrical Interconnection Diagram,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
EIA,Electrical Interface Assembly,HXR_Undulator_Motion_Controls_Checkout_Procedure.pdf page 3
EIA,Electronic Interface Assembly,HXR_Undulator_Motion_Control_ESD.pdf page 3
EIA/TIA,Electronic Industries Alliance/Telecommunications Industry Association,CDR-full.pdf page 510
EIC,"Early Injector Commissioning, commencing approximately FY 18 Q1",Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
EIC,Early Injector Commissioning,PPS_Requirements_(Electron_Beamlines).pdf page 3
EIC,Early Injector Commisisoning,LCLS-II_EIC_PPS_EPICS_Support_SOW.pdf page 3
EIP,Energy Isolation Plan,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
EIP,Electrical Isolation Plan,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 4
EIPC,EIP Coordinator,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
EISA,Energy Independence and Security Act,CDR-full.pdf page 510
EJMA,Expansion Joint Manufacturers Association,LCLSII-HE-1.3-TS-0393.pdf page 6
ELBE,Electron Linear accelerator with high Brilliance and Low Emittance,CDR-full.pdf page 510
ELP,Equipment-Specific Lockout Procedure,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
ELP,Equipment Specific Lockout Procedure,HRS.00.00-SR-SLAC-SRR-7-Electrical_Report.pdf page 6
EM,Electro-Magnetic,CDR-full.pdf page 510
EM,Photon Beam Energy Monitor,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
EM,Energy Monitors (all beam lines collectively),XTES_Gas_Energy_Monitors.pdf page 3
EMCOR,Slot-0 Controller for the MCOR System.,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 3
EMCOR,Ethernet MCOR Controller,Magnet_Power_Supply_Controls_Internal_Interface_Requirements.pdf page 2
EMO,Emergency Off,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
EMS,Energy Management System,CDR-full.pdf page 510
EN,Engineering Note,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
ENCL,Enclosure,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
END,Mobile Endstation Setups,LCLSII-HE-1.4-ES-0477.pdf page 4
END,Endstation Setup,LCLSII-HE-1.4-PR-0351.pdf page 3
EO,Electro-Optical device (measures bunch length).,CDR-full.pdf page 510
EO,Emergency Off button,PPS_to_InfrastructureSystems.pdf page 2
EOM,Electro-Optic Modulator,CDR-full.pdf page 510
EP,Electro-Polish,CDR-full.pdf page 510
EPA,US Environmental Protection Agency,Environmental_radiation_monitoring.pdf page 2
EPA,Environmental Protection Agency,Radiation_Protection_Requirements_for_the_Beam_Transport_Hall.pdf page 3
EPD,"Electrical Power Department, F&O",HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
EPICS,Experimental Physics and Industrial Control System,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
EPICS,Experimental Physics and Industrial Control Systems,LCLSII-HE-1.5-SW-0436.pdf page 3
EPICS,Experimental Physics and Industrial Controls System,LCLS-II_Timing_System_Engineering_Specifications.pdf page 3
EPICS,Experimental Physics and Industrial Control System. The control system package used by SLAC for distributed control.,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
EPICS,"Experimental Physics and Industrial Control System, is a set of open source software tools, libraries, and applications for a distributed control system. LCLS-II EPICS will use Linux RT and RHEL operating systems with the EPICS Toolkit V3.15 and V4 service layer.",Oxygen_Deficiency_Monitoring_Controls.pdf page 3
EPICS,Experimental Physics and Industrial Control System.,Cryogenic_Controls_ESD.pdf page 5
EPICS,Experimental Physics and Industrial Control System. The Control system toolkit used by SLAC for distributed controls.,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 3
EPICS,Experimental Physics and Industrial Control System. The control system package used by SLAC for distributed control,LCLS-II_Undulator_Motion_Control_Requirements.pdf page 3
EPICS IOC,EPICS Input Output Control,Controls_System_Requirements.pdf page 1
EPICS IOC,An EPICS process running on a control system server or embedded CPU,LCLS-II_Vacuum_Controls_Requirements.pdf page 2
EPICS IOC,An EPICS process running on a control system server or embedded CPU.,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
EPICS IOC,"An EPICS process running on a control system server, an embedded CPU or industrial PC.",Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 3
EPICS OPI,EPICS Operator Interface,Controls_System_Requirements.pdf page 1
EPICS PV,"EPICS process variable, a piece of data in the control system.",Controls_System_Requirements.pdf page 1
EPLAN,Electrical schematic capture software,Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
EPR,Engineering Peer Review,LCLSII-HE-1.1-QA-0230.pdf page 5
EPS,Expanded Polystyrene,Fire_Hazard_Analysis.pdf page 35
EPS,Equipment Protection System (subsystem level equipment protection),SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
EPSC,Ethernet Power Supply Controller,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 3
ERL,Energy Recovery Linac,CDR-full.pdf page 510
ERL,"Exposure Reference Level, formerly MPE",LCLSII-HE-1.5-FR-0711.pdf page 5
ERLP,Energy Recovery Linac Prototype,CDR-full.pdf page 510
ERO,Emergency Response Organization,Fire_Hazard_Analysis.pdf page 35
ERR,Equipment Readiness Review,LCLS-II_Readiness_Review_Process.pdf page 4
ERR,Equipment Readiness Review (System Level),LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
ES&H,Environmental Health and Safety,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
ES&H,Environmental Safety and Health,LCLSII-HE-1.2-TS-0206.pdf page 8
ES&H,"Environment, Safety, and Health",CDR-full.pdf page 510
ES&H,Environment Safety and Health,LCLSII-HE-1.1-PM-0767.pdf page 27
ES&H,Environment Safety and Health [Division],LCLSII-HE-1.5-IC-0488.pdf page 4
ES&H,"Environment, Safety and Health",LCLSII-HE-1.5-FR-0478.pdf page 3
ES&H,"Environmental, Safety, and Health",LCLSII-HE-1.1-PM-0219.pdf page 5
ES&H,"Environment, Safety and Health typically relating to reviews, standards or manuals",LCLSII-HE-1.3-TS-0393.pdf page 5
ES&H,Environment Safety & Health,LCLSII-HE-1.1-PM-0009.pdf page 7
ESA,End Station A,PPS_Requirements_(Electron_Beamlines).pdf page 3
ESAAB,Energy Systems Acquisition Advisory Board (ESAAB),LCLSII-HE-1.3-PM-0225.pdf page 4
ESB,End Station B,PPS_Requirements_(Electron_Beamlines).pdf page 3
ESB,Experiment StoryBoardStory Board,LCLSII-HE-1.5-IC-0488.pdf page 4
ESD,Engineering Requirement Document,LCLSII-HE-1.4-ES-0477.pdf page 4
ESD,Engineering Specification Document,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
ESD,Emergency Shutdown,HRS.00.00-SR-SLAC-SRR-3-Controls_Report.pdf page 3
ESD,Engineering Specifications Document,XTES_Adjustable_Apertures_FR.pdf page 2
ESD,Engineering Design Specification,Early_Injector_Commissioning_(EIC)_Personnel_Protection_System_Functional_Requirements.pdf page 2
ESD,Engineering Specification Design,Magnet_Power_Supply_Controls_Functional_Requirements_Specification.pdf page 2
ESD,Engineering Specifications Document (for LCLS & LCLS-II projects),CDR-full.pdf page 511
ESH,"SLAC Environment, Safety and Health Division",Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
ESH,"Environment, Safety & Health",Fire_Sprinkler_Overpressure_Solution.pdf page 3
ESH,SLAC Environment Safety & Health Department,LCLS-II_Cryoplant_C1_Commissioning_Plan.pdf page 5
ESH,Environmental Safety and Health Division,LCLSII-HE-1.3-PP-0527.pdf page 3
ESH,Environmental Safety and Health,LCLSII-HE-1.3-PP-0593.pdf page 4
ESH,Environment Safety and Health Division,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
ESH,Environment Safety and Health,XTES_Photon_Stoppers.pdf page 3
ESH,"Environmental, Health and Safety Division of SLAC",HRS.00.00-SLAC-Cryogenics_Building_905_Areas_Delineation.pdf page 2
ESH BIO,ESH Building Inspection Office,Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
ESHM,"SLAC Environment, Safety and Health Manual",LCLS-II_2K_Cold_box_Assembly.pdf page 4
ESO,SLAC Electrical Safety Officer,LCLSII_Cryoplant_A_E_services-Electrical_As-Builts.pdf page 2
ESO,Electrical Safety Engineer,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
ESS,Endstation System (support systems and control platform for endstation setups),LCLSII-HE-1.4-ES-0477.pdf page 4
ESS,Endstation System,LCLSII-HE-1.5-ES-0691.pdf page 3
ESS,Electron Safety System,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
ESWP,Elevated Surface Work Plan,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
ETRR,Equipment Test Readiness Review (Accelerator Facility),LCLSII-HE-1.1-QA-0230.pdf page 5
EVG,Event Generator,CDR-full.pdf page 511
EVR,Event Receiver,CDR-full.pdf page 511
EW,Exit Window,LCLSII-HE-1.4-ES-0503.pdf page 3
EWP,Electrical Work Plan,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
EX,End Station Area,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
EXT,Extension Line,LCLSII-HE-1.3-PR-0120.pdf page 2
EXT,Linac Extension,LCLSII-HE-1.1-PR-0047.pdf page 3
Element,Control System Name,LCLS-II_LCLS_CLTS.pdf page 4
Element,Device,Linac_Housing_Sectors_11-30_RDS.pdf page 8
Element,Keyword,LCLSII-HE-1.6-RD-0291.pdf page 14
EtherCAT,Industrial controls communication network,Statement_of_Work_for_XTES_SXR_Vacuum_Control_System_Design_and_Implementation.pdf page 2
EtherNet/IP,Ethernet/Internet Protocol (industrial protocol),CDR-full.pdf page 511
EuXFEL,European X-ray Free Electron Laser,3.9GHz_Superconducting_RF_Cryomodule.pdf page 5
Event code,A Software / hardware identifier associated with a set of machine pulses.,Controls_System_Requirements.pdf page 1
F&O,SLAC Facilities & Operations Division,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
F&O,SLAC Facilities and Operations Division,LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
F&O,SLAC Facilities and Operations Division of SLAC,HRS.00.00-SLAC-Cryogenics_Building_905_Areas_Delineation.pdf page 2
F&O,Facilities and Operation,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
F&O,Facilities and Operations Division,Splicing_of_12kV_cables_for_Energy_Isolation_and_Portable_Substations_Full_PDF.pdf page 2
FA,Fire Alarm,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
FAC,SLAC Facility Division,LCW.pdf page 2
FAC,Facility Advisory Committee,LCLS-II_Readiness_Review_Process.pdf page 5
FACET,Facility for Advanced Accelerator Experimental Tests,Fire_Hazard_Analysis.pdf page 35
FACP,Fire Alarm Control Panel,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
FARC,Faraday Cup,LCLS-II_EIC_Faraday_Cup_Thermal_Analysis.pdf page 2
FAT,Factory Acceptance Test,LCLSII-HE-1.3-SW-0076.pdf page 10
FAT,Factory Acceptance Tests,LCLSII-HE-1.4-ES-0422.pdf page 4
FB,Feed-Back,CDR-full.pdf page 511
FC,Faraday cup,LCLSII-HE-1.2-TS-0206.pdf page 8
FC,Feed Cap is a cryogenic component that connects a supply transfer line to a cryomodule through a modified cryomodule-style interconnect,LCLSII-HE-1.3-FR-0054.pdf page 4
FC,Feed Cap,LCLSII-HE-1.3-PM-0225.pdf page 5
